pa1 loose constraints
cases,return status,timeout,time(sec),sink counts,constraint,preorder diff,elmore diff,matched sinks,matched edges,root,inverters valid,noninverting sinks,stage sinks,safe stage sinks,inverter counts,Used memory (bytes),Stack overflow,Memory leak,Memory error
p1,0,0,0.01615,269,7.1316125413e-09,0,0,269,536,1,1,208,415,415,146,113920,0,4097,0
p2,0,0,0.01597,603,2.3528462678e-08,0,0,603,1204,1,1,475,922,922,319,173600,0,4097,0
s1423,0,0,0.01586,74,7.0592178837e-09,0,0,74,146,1,1,45,118,118,44,80496,0,4097,0
s5378,0,0,0.01594,179,1.3891042014e-08,0,0,179,356,1,1,93,290,290,111,98976,0,4097,0
s15850,0,0,0.01619,597,4.1252495270e-08,0,0,597,1192,1,1,420,936,936,339,172544,0,4097,0

pa1 feasible constraints
cases,return status,timeout,time(sec),sink counts,constraint,preorder diff,elmore diff,matched sinks,matched edges,root,inverters valid,noninverting sinks,stage sinks,safe stage sinks,inverter counts,Used memory (bytes),Stack overflow,Memory leak,Memory error
p1,0,0,0.01594,269,1.0000000000e-10,0,0,269,536,1,1,208,415,301,146,135680,0,4097,0
p2,0,0,0.01575,603,1.0000000000e-10,0,0,603,1204,1,1,475,922,696,319,230816,0,4097,0
r1,0,0,0.01612,267,1.0000000000e-10,0,0,267,532,1,1,198,420,155,153,159392,0,4097,0
r2,0,0,0.01595,598,1.0000000000e-10,0,0,598,1194,1,1,421,939,443,341,211504,0,4097,0
r3,0,0,0.03213,862,1.0000000000e-10,0,0,862,1722,1,1,621,1334,637,472,270256,0,4097,0
r4,0,0,0.06396,1903,1.0000000000e-10,0,0,1903,3804,1,1,1425,2924,1532,1021,465760,0,4097,0
r5,0,0,0.0643,3101,1.0000000000e-10,0,0,3101,6200,1,1,2258,4809,2751,1708,676608,0,4097,0
r7,0,0,0.26473,10000,1.0000000000e-10,0,0,10000,19998,1,1,7205,15524,12102,5524,1927696,0,4097,0
s1423,0,0,0.00804,74,1.0000000000e-10,0,0,74,146,1,1,45,118,87,44,113136,0,4097,0
s5378,0,0,0.01606,179,1.0000000000e-10,0,0,179,356,1,1,93,290,222,111,162336,0,4097,0
s15850,0,0,0.03212,597,1.0000000000e-10,0,0,597,1192,1,1,420,936,724,339,242048,0,4097,0

pa1 tighter constraints
cases,return status,timeout,time(sec),sink counts,constraint,preorder diff,elmore diff,matched sinks,matched edges,root,inverters valid,noninverting sinks,stage sinks,safe stage sinks,inverter counts,Used memory (bytes),Stack overflow,Memory leak,Memory error
p1,0,0,0.01593,269,5.0000000000e-11,0,0,269,536,1,1,208,415,301,146,135680,0,4097,0
p2,0,0,0.03199,603,5.0000000000e-11,0,0,603,1204,1,1,475,922,669,319,230816,0,4097,0
r1,0,0,0.01597,267,5.0000000000e-11,0,0,267,532,1,1,198,420,68,153,159392,0,4097,0
r2,0,0,0.03231,598,5.0000000000e-11,0,0,598,1194,1,1,421,939,185,341,211504,0,4097,0
r3,0,0,0.03229,862,5.0000000000e-11,0,0,862,1722,1,1,621,1334,254,472,270256,0,4097,0
r4,0,0,0.06417,1903,5.0000000000e-11,0,0,1903,3804,1,1,1425,2924,662,1021,465760,0,4097,0
r5,0,0,0.06429,3101,5.0000000000e-11,0,0,3101,6200,1,1,2258,4809,1301,1708,676608,0,4097,0
r7,0,0,0.36504,10000,5.0000000000e-11,0,0,10000,19998,1,1,7205,15524,12102,5524,1927696,0,4097,0
s1423,0,0,0.01585,74,5.0000000000e-11,0,0,74,146,1,1,45,118,64,44,113136,0,4097,0
s5378,0,0,0.01598,179,5.0000000000e-11,0,0,179,356,1,1,93,290,208,111,162336,0,4097,0
s15850,0,0,0.03199,597,5.0000000000e-11,0,0,597,1192,1,1,420,936,670,339,242048,0,4097,0

pa1 infeasible constraints
cases,return status,timeout,time(sec),sink counts,constraint,preorder diff,elmore diff,matched sinks,matched edges,root,inverters valid,noninverting sinks,stage sinks,safe stage sinks,inverter counts,Used memory (bytes),Stack overflow,Memory leak,Memory error
p1,0,0,0.01606,269,6.8930000000e-12,0,0,269,536,1,1,208,415,0,146,135680,0,4097,0
p2,0,0,0.03206,603,6.8930000000e-12,0,0,603,1204,1,1,475,922,0,319,230816,0,4097,0
s1423,0,0,0.01606,74,6.8930000000e-12,0,0,74,146,1,1,45,118,0,44,113136,0,4097,0
s5378,0,0,0.01592,179,6.8930000000e-12,0,0,179,356,1,1,93,290,0,111,162336,0,4097,0
s15850,0,0,0.03224,597,6.8930000000e-12,0,0,597,1192,1,1,420,936,0,339,242048,0,4097,0

